Module Code,Positive Comments,Negative Comments,Positive Sentiment Ratio,Aggregated Sentiment Score
CS3203,8,19,0.296296296,-0.422484884
CS3210,3,7,0.3,-0.390291065
CS3211,5,2,0.714285714,0.440430914
CS3213,0,2,0,-0.916904122
CS3216,8,8,0.5,0.010985639
CS3217,3,1,0.75,0.480115011
CS3219,1,2,0.333333333,-0.357435902
CS3223,5,6,0.454545455,-0.1406307
CS3230,6,39,0.133333333,-0.713815219
CS3230R,,,,
CS3231,2,8,0.2,-0.591513145
CS3233,4,11,0.266666667,-0.450620139
CS3233R,,,,
CS3234,11,3,0.785714286,0.488958682
CS3235,3,6,0.333333333,-0.334541003
CS3236,5,3,0.625,0.242832668
CS3236R,,,,
CS3237,0,1,0,-0.827876508
CS3240,3,18,0.142857143,-0.71091017
CS3241,10,8,0.555555556,0.079699162
CS3241R,,,,
CS3242,0,3,0,-0.997280677
CS3243,3,13,0.1875,-0.62443608
CS3244,6,21,0.222222222,-0.536760173
CS3245,4,2,0.666666667,0.304703623
CS3245R,,,,
CS3247,2,4,0.333333333,-0.272770246
CS3263,1,1,0.5,0.003545821
